Reference,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
248,Suppe&Foland,1978,137,6,K-Ar,wm,Metachert,ms,Goat Mtn,C-691,Goat Mtn Schist
268,Ukar et al.,2012,137.2,0.9,Ar-Ar,wm,bs,bs,San Simeon,05-EU-SS-60,plateau
81,Lee et al.*,1964,138,7,K-Ar,wm,metashale,ms,"Cazadero, CA",201RGC59I,
263,Ueda & Kawano,1967,138,,K-Ar,wm,Mafic schist,bs,Goat Mtn,G-208,"Cited by Ernst et a., 1970"
78,Lee et al.*,1964,138.267,7,K-Ar,wm,Grt-Gln schist,bs,"Cazadero, CA",50-CZ-60,rock description from Coleman&Lanphere
269,Wakabayashi&Deino,1989,139.2,0.8,Ar-Ar,wm,bs,bs,San Francisco,Hillside FZ,Total fusion
253,Suppe&Foland,1978,140,6,K-Ar,Hbl,Hbl schist,amph,Goat Mtn,C-1128,Goat Mtn Schist
97,McDowell et al.,1984,141,4,K-Ar,wm,Gln schist,bs,Covelo-Layton.,4,Eel River melange
101,McDowell et al.,1984,141,4,K-Ar,wm,Gln schist,bs,Covelo-Layton.,9,Eel River melange
245,Suppe&Foland,1978,141,8,K-Ar,wm,Metabasalt,bs,Goat Mtn,C-447,Goat Mtn Schist
260,Suppe&Foland,1978,141,4,Rb-Sr,Lws-Spn-Amp-wm-wr,Metabasalt,bs,Goat Mtn,C-447,"Goat Mtn Schist, isochron"
9,Catlos&Soresen,2003,141.7,1.1,Ar-Ar,wm,Eclogite,eclogite,Mt. Hamilton,MH-90-1AB,Weighted mean of data in Table 3
156,Mulcahy et al.,2014,141.8,0.3,Ar-Ar,wm,Grt-Lws bs,bs,Berkeley Hills,BH-1,
100,McDowell et al.,1984,142,6,K-Ar,Act,Gln schist,bs,Covelo-Layton.,6,Eel River melange
270,Wakabayashi&Deino,1989,142.7,0.5,Ar-Ar,wm,bs,bs,Ward Creek,,Plateau
110,McDowell et al.,1984,143,4,K-Ar,wm,Gln schist,bs,Sanhedrin Mtn.,15,Sanhedrin Mtn. Melange
117,McDowell et al.,1984,143,6,K-Ar,ba,Gln schist,bs,Hull Mtn,20,Poison Rock Melange
79,Lee et al.*,1964,143.36,7,K-Ar,wm,Gln schist,bs,"Cazadero, CA",27-CZ-60,rock description from Coleman&Lanphere
17,Coleman&Lanphere*,1971,144,12,K-Ar,Act,Grt-Gln schist,bs,"Roseburg, OR",29-69,Table 2
106,McDowell et al.,1984,144,4,K-Ar,wm,Gln schist,bs,Covelo-Layton.,12,Elk Creek Melange
164,Page et al.,2014,144,10,U-Pb,Zrn,Eclogite,eclogite,Jct School,,weighted mean of core and rim
226,Suppe&Armstrong*,1972,144,6,K-Ar,wm,,mm,Glaucophane Ridge,175a-ms,
